park_id	park_name	beg_date	end_date	is_active	n_games	lng	lat	city	state_id	country_id
SAI01	St. George Cricket Grounds	1886-04-22	1889-06-14	false	148	-74.08	40.65	Staten Island	NY	US
SAN01	Qualcomm Stadium	1969-04-08	2003-09-28	false	2768	-117.12	32.78	San Diego	CA	US
SAN02	PetCo Park	2004-04-08	2013-09-26	true	810	-117.16	32.71	San Diego	CA	US
SEA01	Sicks' Stadium	1969-04-11	1969-10-02	false	82	-122.3	47.58	Seattle	WA	US
SEA02	Kingdome	1977-04-06	1999-06-27	false	1755	-122.33	47.6	Seattle	WA	US
SEA03	Safeco Field	1999-07-15	2013-09-29	true	1181	-122.33	47.59	Seattle	WA	US
SFO01	Seals Stadium	1958-04-15	1959-09-20	false	154	-122.41	37.77	San Francisco	CA	US
SFO02	Candlestick Park	1960-04-12	1999-09-30	false	3173	-122.39	37.71	San Francisco	CA	US
SFO03	AT&T Park	2000-04-11	2013-09-29	true	1135	-122.39	37.78	San Francisco	CA	US
SPR01	Hampden Park Race Track	1872-07-23	1875-05-14	false	3	-72.61	42.11	Springfield	MA	US
STL08	Handlan's Park	1914-04-16	1915-10-03	false	158	-90.23	38.63	St. Louis	MO	US
STL07	Busch Stadium I	1909-04-14	1966-05-08	false	7022	-90.22	38.66	St. Louis	MO	US
STL04	Palace Park of America	1884-04-20	1886-09-23	false	175	-90.21	38.65	St. Louis	MO	US
STL10	Busch Stadium III	2006-04-10	2013-09-29	true	647	-90.19	38.62	St. Louis	MO	US
STP01	Tropicana Field	1998-03-31	2013-09-23	true	1286	-82.65	27.77	St. Petersburg	FL	US
SYR01	Star Park I	1879-05-28	1879-09-10	false	34	-76.15	43.03	Syracuse	NY	US
SYR02	Star Park II	1890-04-28	1890-10-04	false	54	-76.15	43.04	Syracuse	NY	US
SYR03	Iron Pier	1890-08-03	1890-08-03	false	1	-76.18	43.07	Syracuse	NY	US
THR01	Three Rivers Park	1890-05-18	1890-07-20	false	5	-76.28	43.2	Clay	NY	US
TOL01	League Park (Toledo)	1884-05-14	1884-09-24	false	54	-83.55	41.65	Toledo	OH	US
TOL02	Tri-State Fair Grounds	1884-09-13	1884-09-13	false	1	-83.59	41.65	Toledo	OH	US
TOL03	Speranza Park	1890-05-01	1890-10-02	false	68	-83.54	41.67	Toledo	OH	US
TOL04	Armory Park	1903-06-28	1903-08-16	false	2	-83.54	41.66	Toledo	OH	US
TRO01	Haymakers' Grounds	1871-05-09	1881-09-30	false	106	-73.68	42.76	Troy	NY	US
TRO02	Putnam Grounds	1879-05-28	1879-09-20	false	41	-73.68	42.73	Troy	NY	US
WAR01	Rocky Point Park	1903-09-06	1903-09-06	false	1	-71.36	41.69	Warwick	RI	US
WAS02	National Grounds	1872-04-20	1872-05-25	false	7	-77.04	38.91	Washington	DC	US
WAS03	Capitol Grounds	1884-04-18	1884-09-25	false	65	-77.01	38.89	Washington	DC	US
WAS04	Athletic Park (Washington)	1884-05-01	1884-08-02	false	30	-77.02	38.91	Washington	DC	US
WAS05	Swampoodle Grounds	1886-04-29	1889-09-21	false	250	-77.01	38.9	Washington	DC	US
WAS09	Griffith Stadium	1911-04-12	1961-09-21	false	3945	-77.02	38.92	Washington	DC	US
WAS07	American League Park I	1901-04-29	1903-09-28	false	207	-76.99	38.9	Washington	DC	US
WAS10	Robert F. Kennedy Stadium	1962-04-09	2007-09-23	false	1047	-76.97	38.89	Washington	DC	US
WAS11	Nationals Park	2008-03-30	2013-09-22	true	484	-77.01	38.87	Washington	DC	US
WAT01	Troy Ball Club Grounds	1882-05-20	1882-08-26	false	38	-73.71	42.73	Watervliet	NY	US
WAV01	Waverly Fairgrounds	1873-04-28	1873-07-23	false	7	-74.2	40.7	Newark	NJ	US
WEE01	Monitor Grounds	1887-09-11	1887-09-11	false	1	-74.01	40.79	Weehawken	NJ	US
WHE01	Island Grounds	1890-09-22	1890-09-22	false	1	-80.73	40.06	Wheeling	WV	US
WIL01	Union Street Park	1884-09-02	1884-09-10	false	7	-75.57	39.75	Wilmington	DE	US
WNY01	West New York Field Club Grounds	1898-09-11	1899-09-17	false	7	-74.02	40.77	West New York	NJ	US
WOR03	Worcester Driving Park Grounds	1874-10-30	1874-10-30	false	1	-71.81	42.27	Worcester	MA	US
